OverallQual,OverallCond,YearBuilt,SalePrice,GrLivArea,TotalBsmtSF
7,5,2003,208500,1710,856
6,8,1976,181500,1262,1262
7,5,2001,223500,1786,920
7,5,1915,140000,1717,756
8,5,2000,250000,2198,1145
5,5,1993,143000,1362,796
8,5,2004,307000,1694,1686
7,6,1973,200000,2090,1107
7,5,1931,129900,1774,952
5,6,1939,118000,1077,991
5,5,1965,129500,1040,1040
9,5,2005,345000,2324,1175
5,6,1962,144000,912,912
7,5,2006,279500,1494,1494
6,5,1960,157000,1253,1253
7,8,1929,132000,854,832
6,7,1970,149000,1004,1004
4,5,1967,90000,1296,0
5,5,2004,159000,1114,1114
5,6,1958,139000,1339,1029
8,5,2005,325300,2376,1158
7,7,1930,139400,1108,637
8,5,2002,230000,1795,1777
5,7,1976,129900,1060,1040
5,8,1968,154000,1060,1060
8,5,2007,256300,1600,1566
5,7,1951,134800,900,900
8,5,2007,306000,1704,1704
5,6,1957,207500,1600,1484
4,6,1927,68500,520,520
4,4,1920,40000,1317,649
5,6,1966,149350,1228,1228
8,5,2007,179900,1234,1234
5,5,1959,165500,1700,1398
9,5,2005,277500,1561,1561
8,5,2004,309000,2452,1117
5,5,1994,145000,1097,1097
5,6,1954,153000,1297,1297
5,7,1953,109000,1057,1057
4,5,1955,82000,1152,0
6,5,1965,160000,1324,1088
5,6,1959,170000,1328,1350
5,7,1983,144000,884,840
5,6,1975,130250,938,938
5,6,1959,141000,1150,1150
9,5,2005,319900,1752,1752
7,5,2003,239686,2149,1434
8,5,2006,249700,1656,1656
4,5,1920,113000,1452,736
5,7,1966,127000,955,955
6,6,1997,177000,1470,794
6,6,1934,114500,1176,816
5,5,1963,110000,816,816
9,5,1981,385000,1842,1842
5,5,1955,130000,1360,384
6,5,1964,180500,1425,1425
8,5,1999,172500,1739,970
7,5,2004,196500,1720,860
10,5,2006,438780,2945,1410
5,7,1972,124900,780,780
6,5,2004,158000,1158,1158
5,7,1920,101000,1111,530
8,5,2006,202500,1370,1370
7,6,1921,140000,1710,576
7,5,1997,219500,2034,1057
8,5,2004,317000,2473,1143
7,5,1970,180000,2207,1947
7,5,2003,226000,1479,1453
4,6,1945,80000,747,747
7,4,1953,225000,2287,1304
7,6,1973,244000,2223,2223
4,6,1982,129500,845,845
7,5,1998,185000,1718,832
5,7,1954,144900,1086,1086
3,6,1915,107400,1605,840
4,5,1973,91000,988,462
4,7,1956,135750,952,952
5,5,1948,127000,1285,672
4,5,1968,136500,1768,1768
5,6,1910,110000,1230,440
6,6,1968,193500,2142,896
6,5,1998,153500,1337,1237
8,5,2007,245000,1563,1563
5,5,1960,126500,1065,1065
7,5,1995,168500,1474,384
8,5,1991,260000,2417,1288
6,5,2005,174000,1560,684
6,5,2009,164500,1224,612
3,2,1915,85000,1526,1013
4,5,1994,123600,990,990
4,5,1950,109900,1040,0
5,3,1961,98600,1235,1235
5,7,1921,163500,964,876
6,6,1910,133900,2291,1214
6,5,1997,204750,1786,824
6,8,1993,185000,1470,680
7,5,1999,214000,1588,1588
4,5,1965,94750,960,960
5,5,1920,83000,835,458
4,5,1959,128950,1225,950
6,7,1977,205000,1610,1610
6,5,1985,178000,1732,741
5,5,1979,118964,1535,0
7,5,2009,198900,1226,1226
7,4,1931,169500,1818,1040
8,5,2003,250000,1992,1053
4,7,1885,100000,1047,641
5,5,1948,115000,789,789
5,7,1919,115000,1517,793
6,6,1977,190000,1844,1844
6,4,1954,136900,1855,994
7,5,2000,180000,1430,384
7,5,2007,383970,2696,1264
6,5,1953,217000,2259,1809
6,8,1945,259500,2320,1028
6,5,1999,176000,1458,729
5,5,1962,139000,1092,1092
5,5,2006,155000,1125,1125
7,5,1990,320000,3222,1673
6,5,2005,163990,1456,728
6,5,1969,180000,988,938
4,5,1939,100000,1123,732
6,7,1958,136000,1080,1080
6,5,1993,153900,1199,1199
6,5,1979,181000,1586,1362
6,8,1935,84500,754,520
6,5,1976,128000,958,1078
5,7,1930,87000,840,672
6,5,1966,155000,1348,660
5,7,1958,150000,1053,1008
7,6,1966,226000,2157,924
6,5,2000,244000,2054,992
5,6,1959,150750,1327,1063
8,5,2001,220000,1296,1267
5,6,1968,180000,1721,1461
7,6,1970,174000,1682,1304
5,5,1967,143000,1214,1214
7,5,1988,171000,1959,1907
8,5,1999,230000,1852,1004
6,5,1997,231500,1764,928
4,5,1971,115000,864,864
7,5,2005,260000,1734,1734
5,4,1952,166000,1385,910
7,5,1999,204000,1501,1490
5,5,1963,125000,1728,1728
6,5,2004,130000,1709,970
5,7,1931,105000,875,715
7,5,2001,222500,2035,884
7,5,2004,141000,1080,1080
5,4,1936,115000,1344,896
5,6,1975,122000,969,969
8,5,2007,372402,1710,1710
6,5,1971,190000,1993,825
6,7,1960,235000,1252,1602
6,5,1923,125000,1200,1200
6,5,1924,79000,1096,572
5,7,1950,109500,1040,0
8,5,2009,269500,1968,774
7,5,2004,254900,1947,991
7,5,2005,320000,2462,1392
6,6,1984,162500,1232,1232
9,5,2003,412500,2668,1572
7,5,2005,220000,1541,1541
4,6,1956,103200,882,882
6,7,1926,152000,1616,1149
5,7,1940,127500,1355,644
5,5,1955,190000,1867,1617
8,5,2007,325624,2161,1582
7,5,2004,183500,1720,840
8,6,1981,228000,1707,1686
5,6,1941,128500,1382,720
6,5,1960,215000,1656,1080
7,7,1987,239000,1767,1064
6,5,1961,163000,1362,1362
6,5,1986,184000,1651,1606
6,7,1950,243000,2158,1202
6,5,1988,211000,2060,1151
5,5,1958,172500,1920,1052
9,5,2008,501837,2234,2216
5,6,1923,100000,968,968
6,5,2000,177000,1525,756
7,6,1920,200100,1802,793
5,6,1957,120000,1340,0
7,5,2003,200000,2082,1362
5,8,1908,127000,1252,504
10,9,1892,475000,3608,1107
7,5,1990,173000,1217,1188
5,7,1916,135000,1656,660
5,5,1979,153337,1224,1086
8,5,2001,286000,1593,1593
8,8,1932,315000,2727,853
7,9,1972,184000,1479,725
7,5,1999,192000,1431,1431
7,5,2004,130000,1709,970
5,7,1972,127000,864,864
6,6,1976,148500,1456,855
7,5,2007,311872,1726,1726
8,4,1918,235000,3112,1360
6,6,1912,104000,2229,755
8,5,2004,274900,1713,1713
4,5,2003,140000,1121,1121
6,6,1977,171500,1279,1196
6,6,1924,112000,1310,617
6,5,2004,149000,848,848
5,7,1947,110000,1284,720
7,5,1990,180500,1442,1424
5,5,1962,143900,1696,1140
4,5,1960,141000,1100,1100
7,5,1988,277000,2062,1157
6,7,1964,145000,1092,1092
5,6,1925,98000,864,864
6,5,2009,186000,1212,1212
7,5,2009,252678,1852,900
5,5,1995,156000,990,990
6,7,1977,161750,1392,689
5,6,1957,134450,1236,1070
7,5,2004,210000,1436,1436
